name,history
윤석열,1973.2. 대광국민학교 졸업 (4회)
윤석열,1976.2. 충암중학교 졸업 (7회)
윤석열,1979.2. 충암고등학교 졸업 (8회)
윤석열,1983.2. 서울대학교 법과대학 법학과 졸업, 법학 학사 (79학번)
윤석열,1988.2. 서울대학교 대학원 법학과 졸업, 법학 석사
윤석열,1991.10. 제33회 사법시험 합격
윤석열,1994.2. 제23기 사법연수원 수료
윤석열,1994.2. 대구지방검찰청 검사
윤석열,1996.2. 춘천지방검찰청 강릉지청 검사
윤석열,1997.2. 수원지방검찰청 성남지청 검사
윤석열,1999.2. 서울지방검찰청 검사
윤석열,1999. 서울지방검찰청 특별수사2부 주임검사
윤석열,2001.8. 부산지방검찰청 검사
윤석열,2002.2. 법무법인 태평양 변호사
윤석열,2003.2. 광주지방검찰청 검사
윤석열,2003. 제16대 대통령 선거 불법대선자금수사팀 검사
윤석열,2005.2. 의정부지방검찰청 고양지청 부부장검사
윤석열,2006.2. 대검찰청 중앙수사부 검찰연구관
윤석열,2008.1. 한나라당 17대 대통령 후보 이명박의 주가조작 등 범죄혐의의 진상규명을 위한 특별검사실 파견검사
윤석열,2008.3. 제46대 대전지방검찰청 논산지청장
윤석열,2009.1. 대구지방검찰청 특별수사부장
윤석열,2009.8. 대검찰청 범죄정보기획관실 범죄정보2담당관
윤석열,2010.7. 대검찰청 중앙수사부 2과장
윤석열,2011.8. 대검찰청 중앙수사부 1과장
윤석열,2012.7. 서울중앙지방검찰청 특별수사1부장
윤석열,2013.4. 제55대 수원지방검찰청 여주지청장
윤석열,2013.4. 국가정보원 여론조작 사건 특별수사팀장
윤석열,2014.1. 대구고등검찰청 검사
윤석열,2016.1. 대전고등검찰청 검사
윤석열,2016.12. 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 규명을 위한 특별검사실 수사4팀장
윤석열,2017.5.19. ~ 2019.7.24. 제59대 서울중앙지방검찰청 검사장 (문재인 정부)
윤석열,2019.7.25. ~ 2021.3.4. 제43대 검찰총장 (문재인 정부)
윤석열,2021.11.5. 제20대 대통령 선거 국민의힘 후보
윤석열,2022.5.10. ~ 현재. 제20대 대한민국 대통령윤석열
이재명,1976. 2. 삼계국민학교 졸업
이재명,1978. 8. 중학교 졸업 학력 검정고시 합격
이재명,1980. 4. 고등학교 졸업 학력 검정고시 합격
이재명,1986. 2. 중앙대학교 법과대학 법학 학사
이재명,1986. 7. 제28회 사법시험 합격
이재명,1987. 11. 대구지방검찰청 안동지청 검사시보
이재명,1989. 사법연수원 18기 수료
이재명,1989. 5. 민주사회를 위한 변호사모임 국제연대위원
이재명,2003. ~ 2004. 성남참여연대 집행위원장
이재명,2004. 성남시립병원설립추진위원회 공동대표
이재명,2004. 국가청렴위원회 성남부정부패신고센터 소장
이재명,2006. 5. 열린우리당 경기도 성남시장 제4회 전국동시지방선거 후보 (낙선)
이재명,2007. 정동영과 통하는 사람들 공동대표
이재명,2007. 대통합민주신당 부대변인
이재명,2007. 대통합민주신당 선거대책위원회 비서실 수석부실장
이재명,2008. 3. 통합민주당 경기 성남시 분당구 갑 제18대 국회의원 선거 후보 (낙선)
이재명,2008. 민주당 경기 성남시 분당구 갑 지역위원장
이재명,2008. 민주당 부대변인
이재명,2010. 7. 1. ~ 2014. 6. 30. 제19대 경기도 성남시장 (초선 / 민선 5기 / 민주당)
이재명,2012. 6. 민주통합당 기초자치단체장협의회 의장
이재명,2014. 7. 1. ~ 2018. 3. 15. 제20대 경기도 성남시장 (재선 / 민선 6기 / 새정치민주연합)
이재명,2016. 세계자유민주연맹 자유장
이재명,2017. 3. 14. ~ 2017. 4. 3. 제19대 대통령 선거 더불어민주당 경선 후보 (경선 3위)
이재명,2018. 7. 1. ~ 2021. 10. 25. 제35대 경기도지사 (초선 / 민선 7기 / 더불어민주당)
이재명,2019. 제14대 전국시도지사협의회 부회장
이재명,2020. 한국상하수도협회 부회장
이재명,2021. 7. 12. ~ 2021. 10. 10. 제20대 대통령 선거 더불어민주당 경선 후보 (경선 1위)
이재명,2021. 10. 10. ~ 2022. 3. 9. 제20대 대통령 선거 더불어민주당 후보 (낙선)
이재명,2022. 3. 10. ~ 8. 28. 더불어민주당 상임고문
이재명,2022. 6. 2. ~ 2024. 5. 29. 제21대 국회의원 (초선 / 인천 계양구 을 / 더불어민주당)
이재명,2022. 6. 더불어민주당 인천광역시 계양구 을 지역위원장
이재명,2022. 7. 제21대 국회 후반기 국방위원회 위원
이재명,2022. 8. 28. ~ 2024. 6. 24. 제6대 더불어민주당 대표 민주연구원 이사장
이재명,2024. 5. 30. ~ 현재. 제22대 국회의원 (재선 / 인천광역시 계양구 을 / 더불어민주당)
이재명,2024. 8. 18. ~ 현재. 제7대 더불어민주당 대표 민주연구원 이사장